date;Albania;India;Italy;Germany;US
2020-01-22;0;0;0;0;1
2020-01-23;0;0;0;0;1
2020-01-24;0;0;0;0;2
2020-01-25;0;0;0;0;2
2020-01-26;0;0;0;0;5
2020-01-27;0;0;0;1;5
2020-01-28;0;0;0;4;5
2020-01-29;0;0;0;4;5
2020-01-30;0;1;0;4;5
2020-01-31;0;1;2;5;7
2020-02-01;0;1;2;8;8
2020-02-02;0;2;2;10;8
2020-02-03;0;3;2;12;11
2020-02-04;0;3;2;12;11
2020-02-05;0;3;2;12;11
2020-02-06;0;3;2;12;11
2020-02-07;0;3;3;13;11
2020-02-08;0;3;3;13;11
2020-02-09;0;3;3;14;11
2020-02-10;0;3;3;14;11
2020-02-11;0;3;3;16;12
2020-02-12;0;3;3;16;12
2020-02-13;0;3;3;16;13
2020-02-14;0;3;3;16;13
2020-02-15;0;3;3;16;13
2020-02-16;0;3;3;16;13
2020-02-17;0;3;3;16;13
2020-02-18;0;3;3;16;13
2020-02-19;0;3;3;16;13
2020-02-20;0;3;3;16;13
2020-02-21;0;3;20;16;15
2020-02-22;0;3;62;16;15
2020-02-23;0;3;155;16;15
2020-02-24;0;3;229;16;15
2020-02-25;0;3;322;17;15
2020-02-26;0;3;453;27;15
2020-02-27;0;3;655;46;16
2020-02-28;0;3;888;48;16
2020-02-29;0;3;1128;79;24
2020-03-01;0;3;1694;130;30
2020-03-02;0;5;2036;159;52
2020-03-03;0;5;2502;196;72
2020-03-04;0;28;3089;262;103
2020-03-05;0;30;3858;482;172
2020-03-06;0;31;4636;670;215
2020-03-07;0;34;5883;799;337
2020-03-08;0;39;7375;1040;450
2020-03-09;2;43;9172;1176;515
2020-03-10;10;56;10149;1457;713
2020-03-11;12;62;12462;1908;1105
2020-03-12;23;73;15113;2078;1530
2020-03-13;33;82;17660;3675;2115
2020-03-14;38;102;21157;4585;2814
2020-03-15;42;113;24747;5795;2986
2020-03-16;51;119;27980;7272;4354
2020-03-17;55;142;31506;9257;5970
2020-03-18;59;156;35713;12327;8386
2020-03-19;64;194;41035;15320;12674
2020-03-20;70;244;47021;19848;18736
2020-03-21;76;330;53578;22213;24508
2020-03-22;89;396;59138;24873;33152
2020-03-23;104;499;63927;29056;43850
2020-03-24;123;536;69176;32986;54112
2020-03-25;146;657;74386;37323;66055
2020-03-26;174;727;80589;43938;83611
2020-03-27;186;887;86498;50871;102101
2020-03-28;197;987;92472;57695;122059
2020-03-29;212;1024;97689;62095;141205
2020-03-30;223;1251;101739;66885;162707
2020-03-31;243;1397;105792;71808;188744
2020-04-01;259;1998;110574;77872;214205
2020-04-02;277;2543;115242;84794;244610
2020-04-03;304;2567;119827;91159;276547
2020-04-04;333;3082;124632;96092;309699
2020-04-05;361;3588;128948;100123;337573
2020-04-06;377;4778;132547;103374;367215
2020-04-07;383;5311;135586;107663;397992
2020-04-08;400;5916;139422;113296;429686
2020-04-09;409;6725;143626;118181;464442
2020-04-10;416;7598;147577;122171;497943
2020-04-11;433;8446;152271;124908;527969
2020-04-12;446;9205;156363;127854;556522
2020-04-13;467;10453;159516;130072;581813
2020-04-14;475;11487;162488;131359;608878
2020-04-15;494;12322;165155;134753;637974
2020-04-16;518;13430;168941;137698;669272
2020-04-17;539;14352;172434;141397;701996
2020-04-18;548;15722;175925;143342;730266
2020-04-19;562;17615;178972;145184;756544
2020-04-20;584;18539;181228;147065;783931
2020-04-21;609;20080;183957;148291;809295
2020-04-22;634;21370;187327;150648;837627
2020-04-23;663;23077;189973;153129;871617
2020-04-24;678;24530;192994;154999;907908
2020-04-25;712;26283;195351;156513;940829
2020-04-26;726;27890;197675;157770;968518
2020-04-27;736;29451;199414;158758;990983
2020-04-28;750;31324;201505;159912;1015518
2020-04-29;766;33062;203591;161539;1043038
2020-04-30;773;34863;205463;163009;1072667
2020-05-01;782;37257;207428;164077;1106829
2020-05-02;789;39699;209328;164967;1136024
2020-05-03;795;42505;210717;165664;1161611
2020-05-04;803;46437;211938;166152;1184086
2020-05-05;820;49400;213013;167007;1208271
2020-05-06;832;52987;214457;168162;1233527
2020-05-07;842;56351;215858;169430;1261409
2020-05-08;850;59695;217185;170588;1288587
2020-05-09;856;62808;218268;171324;1314320
2020-05-10;868;67161;219070;171879;1334084
2020-05-11;872;70768;219814;172576;1352962
2020-05-12;876;74292;221216;173171;1375152
2020-05-13;880;78055;222104;174098;1396110
2020-05-14;898;81997;223096;174478;1423727
2020-05-15;916;85784;223885;175233;1449027
2020-05-16;933;90648;224760;175752;1474128
2020-05-17;946;95698;225435;176369;1493132
2020-05-18;948;100328;225886;176551;1514901
2020-05-19;949;106475;226699;177778;1535350
2020-05-20;964;112028;227364;178473;1559157
2020-05-21;969;118226;228006;179021;1584512
2020-05-22;981;124794;228658;179710;1608653
2020-05-23;989;131423;229327;179986;1630476
2020-05-24;998;138536;229858;180328;1651289
2020-05-25;1004;144950;230158;180600;1670280
2020-05-26;1029;150793;230555;181200;1689163
2020-05-27;1050;158086;231139;181524;1707445
2020-05-28;1076;165386;231732;182196;1730260
2020-05-29;1099;173491;232248;182922;1754764
2020-05-30;1122;181827;232664;183189;1779214
2020-05-31;1137;190609;232997;183410;1799124
2020-06-01;1143;198370;233197;183594;1816479
2020-06-02;1164;207191;233515;183879;1837374
2020-06-03;1184;216824;233836;184121;1857332
2020-06-04;1197;226713;234013;184472;1878683
2020-06-05;1212;236184;234531;184924;1903907
2020-06-06;1232;246622;234801;185450;1926639
2020-06-07;1246;257486;234998;185750;1944370
2020-06-08;1263;265928;235278;186109;1961785
2020-06-09;1299;276146;235561;186506;1979912
2020-06-10;1341;286605;235763;186522;2000706
2020-06-11;1385;297535;236142;186691;2023656
2020-06-12;1416;308993;236305;187226;2048986
2020-06-13;1464;320922;236651;187267;2074542
2020-06-14;1521;332424;236989;187518;2094366
2020-06-15;1590;343091;237290;187682;2114026
2020-06-16;1672;354065;237500;188252;2137731
2020-06-17;1722;366946;237828;188604;2163290
2020-06-18;1788;380532;238159;189817;2191099
