doubling every day;doubling every two days;doubling every 4 days;doubling every 10 days;Albania;India;Italy;Germany;US;date
100.0;100.0;100.0;100.0;104.0;102.0;155.0;130.0;103.0;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;123.0;113.0;229.0;159.0;172.0;1
400.0;200.0;141.4213562373095;114.86983549970351;146.0;119.0;322.0;196.0;215.0;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;174.0;142.0;453.0;262.0;337.0;3
1600.0;400.0;200.0;131.9507910772894;186.0;156.0;655.0;482.0;450.0;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;197.0;194.0;888.0;670.0;515.0;5
6400.0;800.0;282.842712474619;151.5716566510398;212.0;244.0;1128.0;799.0;713.0;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;223.0;330.0;1694.0;1040.0;1105.0;7
25600.0;1600.0;400.0;174.11011265922482;243.0;396.0;2036.0;1176.0;1530.0;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;259.0;499.0;2502.0;1457.0;2115.0;9
;3200.0;565.685424949238;200.0;277.0;536.0;3089.0;1908.0;2814.0;10
;4525.483399593904;672.7171322029716;214.35469250725862;304.0;657.0;3858.0;2078.0;2986.0;11
;6400.0;800.0;229.73967099940697;333.0;727.0;4636.0;3675.0;4354.0;12
;9050.966799187809;951.3656920021768;246.22888266898326;361.0;887.0;5883.0;4585.0;5970.0;13
;12800.0;1131.370849898476;263.9015821545788;377.0;987.0;7375.0;5795.0;8386.0;14
;18101.933598375617;1345.4342644059432;282.842712474619;383.0;1024.0;9172.0;7272.0;12674.0;15
;25600.0;1600.0;303.14331330207966;400.0;1251.0;10149.0;9257.0;18736.0;16
;36203.867196751235;1902.7313840043537;324.9009585424942;409.0;1397.0;12462.0;12327.0;24508.0;17
;51200.0;2262.741699796952;348.22022531844965;416.0;1998.0;15113.0;15320.0;33152.0;18
;72407.73439350247;2690.8685288118863;373.21319661472296;433.0;2543.0;17660.0;19848.0;43850.0;19
;102400.0;3200.0;400.0;446.0;2567.0;21157.0;22213.0;54112.0;20
;144815.46878700494;3805.4627680087074;428.70938501451724;467.0;3082.0;24747.0;24873.0;66055.0;21
;204800.0;4525.483399593904;459.47934199881405;475.0;3588.0;27980.0;29056.0;83611.0;22
;289630.9375740099;5381.737057623773;492.4577653379664;494.0;4778.0;31506.0;32986.0;102101.0;23
;409600.0;6400.0;527.8031643091576;518.0;5311.0;35713.0;37323.0;122059.0;24
;579261.8751480198;7610.925536017415;565.685424949238;539.0;5916.0;41035.0;43938.0;141205.0;25
;819200.0;9050.966799187809;606.2866266041593;548.0;6725.0;47021.0;50871.0;162707.0;26
;1158523.7502960395;10763.474115247545;649.8019170849884;562.0;7598.0;53578.0;57695.0;188744.0;27
;1638400.0;12800.0;696.4404506368992;584.0;8446.0;59138.0;62095.0;214205.0;28
;2317047.500592079;15221.85107203483;746.4263932294459;609.0;9205.0;63927.0;66885.0;244610.0;29
